file,true_label
func_0000.c,1
func_0001.c,1
func_0002.c,1
func_0003.c,1
func_0004.c,1
func_0005.c,1
func_0006.c,1
func_0007.c,1
func_0008.c,1
func_0009.c,1
func_0010.c,1
func_0011.c,1
func_0012.c,1
func_0013.c,1
func_0014.c,1
func_0015.c,1
func_0016.c,1
func_0017.c,1
func_0018.c,1
func_0019.c,1
func_0020.c,1
func_0021.c,1
func_0022.c,1
func_0023.c,1
func_0024.c,1
func_0025.c,1
func_0026.c,1
func_0027.c,1
func_0028.c,1
func_0029.c,1
func_0030.c,1
func_0031.c,1
func_0032.c,1
func_0033.c,1
func_0034.c,1
func_0035.c,1
func_0036.c,1
func_0037.c,1
func_0038.c,1
func_0039.c,1
func_0040.c,1
func_0041.c,1
func_0042.c,1
func_0043.c,1
func_0044.c,1
func_0045.c,1
func_0046.c,1
func_0047.c,1
func_0048.c,1
func_0049.c,1
func_0050.c,1
func_0051.c,1
func_0052.c,1
func_0053.c,1
func_0054.c,1
func_0055.c,1
func_0056.c,1
func_0057.c,1
func_0058.c,1
func_0059.c,1
func_0060.c,1
func_0061.c,1
func_0062.c,1
func_0063.c,1
func_0064.c,1
func_0065.c,1
func_0066.c,1
func_0067.c,1
func_0068.c,1
func_0069.c,1
func_0070.c,1
func_0071.c,1
func_0072.c,1
func_0073.c,1
func_0074.c,1
func_0075.c,1
func_0076.c,1
func_0077.c,1
func_0078.c,1
func_0079.c,1
func_0080.c,1
func_0081.c,1
func_0082.c,1
func_0083.c,1
func_0084.c,1
func_0085.c,1
func_0086.c,1
func_0087.c,1
func_0088.c,1
func_0089.c,1
func_0090.c,1
func_0091.c,1
func_0092.c,1
func_0093.c,1
func_0094.c,1
func_0095.c,1
func_0096.c,1
func_0097.c,1
func_0098.c,1
func_0099.c,1
func_0100.c,0
func_0101.c,0
func_0102.c,0
func_0103.c,0
func_0104.c,0
func_0105.c,0
func_0106.c,0
func_0107.c,0
func_0108.c,0
func_0109.c,0
func_0110.c,0
func_0111.c,0
func_0112.c,0
func_0113.c,0
func_0114.c,0
func_0115.c,0
func_0116.c,0
func_0117.c,0
func_0118.c,0
func_0119.c,0
func_0120.c,0
func_0121.c,0
func_0122.c,0
func_0123.c,0
func_0124.c,0
func_0125.c,0
func_0126.c,0
func_0127.c,0
func_0128.c,0
func_0129.c,0
func_0130.c,0
func_0131.c,0
func_0132.c,0
func_0133.c,0
func_0134.c,0
func_0135.c,0
func_0136.c,0
func_0137.c,0
func_0138.c,0
func_0139.c,0
func_0140.c,0
func_0141.c,0
func_0142.c,0
func_0143.c,0
func_0144.c,0
func_0145.c,0
func_0146.c,0
func_0147.c,0
func_0148.c,0
func_0149.c,0
func_0150.c,0
func_0151.c,0
func_0152.c,0
func_0153.c,0
func_0154.c,0
func_0155.c,0
func_0156.c,0
func_0157.c,0
func_0158.c,0
func_0159.c,0
func_0160.c,0
func_0161.c,0
func_0162.c,0
func_0163.c,0
func_0164.c,0
func_0165.c,0
func_0166.c,0
func_0167.c,0
func_0168.c,0
func_0169.c,0
func_0170.c,0
func_0171.c,0
func_0172.c,0
func_0173.c,0
func_0174.c,0
func_0175.c,0
func_0176.c,0
func_0177.c,0
func_0178.c,0
func_0179.c,0
func_0180.c,0
func_0181.c,0
func_0182.c,0
func_0183.c,0
func_0184.c,0
func_0185.c,0
func_0186.c,0
func_0187.c,0
func_0188.c,0
func_0189.c,0
func_0190.c,0
func_0191.c,0
func_0192.c,0
func_0193.c,0
func_0194.c,0
func_0195.c,0
func_0196.c,0
func_0197.c,0
func_0198.c,0
func_0199.c,0
